Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",30-01-80,12:51:00,Vostok-2M,Cosmos 1154,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",07-02-80,21:10:00,Titan IIID,KH-11,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",09-02-80,23:08:00,Atlas-E/F SGS-1,GPS-5,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",11-02-80,23:32:00,Cosmos-3M (11K65M),Cosmos 1156 to 1163,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",12-02-80,0:52:00,Molniya-M /Block 2BL,Cosmos 1164,Retired,,Partial Failure
ISAS,"Mu Pad, Uchinoura Space Center, Japan",17-02-80,0:40:00,Mu-III S,Tansei 4,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",22-02-80,8:35:00,N-I Star-37E,Ayame 2,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",03-03-80,9:27:00,Atlas-E/F MSD,NOSS-3,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14-03-80,10:40:00,Tsyklon-2,Cosmos 1167,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",17-03-80,21:37:00,Cosmos-3M (11K65M),Cosmos 1168,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",27-03-80,7:30:00,Cosmos-3M (11K65M),Cosmos 1169,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",03-04-80,7:40:00,Cosmos-3M (11K65M),Cosmos 1171,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",12-04-80,20:17:00,Molniya-M /Block 2BL,Cosmos 1172,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",18-04-80,0:51:00,Tsyklon-2,Cosmos 1174,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",18-04-80,17:31:00,Molniya-M /Block ML,Cosmos 1175,Retired,,Partial Failure
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",26-04-80,22:00:00,Atlas-E/F SGS-1,GPS-6,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",29-04-80,11:40:00,Tsyklon-2,Cosmos 1176,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",14-05-80,13:00:00,Cosmos-3M (11K65M),Cosmos 1179,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",20-05-80,9:21:00,Cosmos-3M (11K65M),Cosmos 1181,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",23-05-80,14:29:00,Ariane 1,CAT-2 & Others,Retired,,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",29-05-80,10:53:00,Atlas-E/F Star-37S-ISS,NOAA-B,Retired,,Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",04-06-80,7:34:00,Vostok-2M,Cosmos 1184,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",06-06-80,11:00:00,Cosmos-3M (11K65M),Cosmos 1186,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14-06-80,20:51:00,Molniya-M /Block 2BL,Cosmos 1188,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",18-06-80,6:14:00,Vostok-2M,Meteor-Priroda n†­4,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",18-06-80,18:29:00,Titan IIID,KH-9),Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",21-06-80,18:34:00,Molniya-M /Block ML,Molniya-1 n†­85,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",01-07-80,7:12:00,Cosmos-3M (11K65M),Cosmos 1190,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",02-07-80,0:53:00,Molniya-M /Block 2BL,Cosmos 1191,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",09-07-80,0:42:00,Cosmos-3M (11K65M),Cosmos 1192 to 1199,Retired,,Success
ISRO,"SLV LP, Satish Dhawan Space Centre, India",18-07-80,2:33:00,SLV-3,Rohini RS-1,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",18-07-80,10:37:00,Molniya-M /Block ML,Molniya-3 n†­86,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",31-07-80,10:20:00,Cosmos-3M (11K65M),Cosmos 1204,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",15-08-80,5:34:00,Vostok-2M,Cosmos 1206,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",09-09-80,11:00:00,Vostok-2M,Meteor-2 n†­7,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",14-10-80,20:41:00,Cosmos-3M (11K65M),Cosmos 1215,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",24-10-80,10:53:00,Molniya-M /Block 2BL,Cosmos 1217,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",31-10-80,3:54:00,Atlas-SLV3D Centaur-D1AR,FLTSATCOM-4,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",04-11-80,15:04:00,Tsyklon-2,Cosmos 1220,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",16-11-80,4:18:00,Molniya-M /Block ML,Molniya-1 n†­87,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",21-11-80,11:53:00,Vostok-2M,Cosmos 1222,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",27-11-80,21:37:00,Molniya-M /Block 2BL,Cosmos 1223,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",05-12-80,4:23:00,Cosmos-3M (11K65M),Cosmos 1225,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",05-12-80,,Cosmos-3MRB (65MRB),BOR-4 Shuttle,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",06-12-80,23:31:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -502,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",09-12-80,7:18:00,Atlas-E/F MSD,NOSS-4,Retired,,Failure
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",10-12-80,20:53:00,Cosmos-3M (11K65M),Cosmos 1226,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",13-12-80,,Titan III(34)B Agena-D,Quasar 4,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",23-12-80,22:48:00,Cosmos-3M (11K65M),Cosmos 1228 to 1235,Retired,,Partial Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",25-12-80,,Molniya-M /Block SO-L,Prognoz n†­8,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",09-01-81,14:57:00,Molniya-M /Block ML,Molniya-3 n†­88,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",16-01-81,9:00:00,Cosmos-3M (11K65M),Cosmos 1238,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",21-01-81,8:29:00,Cosmos-3M (11K65M),Cosmos 1241,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",23-01-81,11:20:00,Tsyklon-3,Cosmos 1242,Retired,,Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",27-01-81,14:58:00,Vostok-2M,Cosmos 1242,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",30-01-81,16:27:00,Molniya-M /Block ML,Molniya-1 n†­89,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",02-02-81,2:19:00,Tsyklon-2,Cosmos 1243,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",06-02-81,,Cosmos-3M (11K65M),Intercosmos 21,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",11-02-81,8:30:00,N-II Star-37E,Kiku 3,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",12-02-81,18:21:00,Cosmos-3M (11K65M),Cosmos 1244,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",19-02-81,10:00:00,Molniya-M /Block 2BL,Cosmos 1247,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",21-02-81,0:30:00,Mu-III S,Hinotori,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",21-02-81,23:23:00,Atlas-SLV3D Centaur-D1AR,Comstar D4,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",28-02-81,19:15:00,Titan III(24)B,OPS 1166,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",05-03-81,18:09:00,Tsyklon-2,Cosmos 1249,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-03-81,11:31:00,Cosmos-3M (11K65M),Cosmos 1250 to 1257,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14-03-81,16:55:00,Tsyklon-2,Cosmos 1258,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",16-03-81,13:30:00,Titan III(23)C,DSP-9,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",20-03-81,23:45:00,Tsyklon-2,Cosmos 1260,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",21-03-81,3:45:00,Tsyklon-2,Cosmos 1266,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",24-03-81,3:31:00,Molniya-M /Block ML,Molniya-3 n†­90,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",31-03-81,9:39:00,Molniya-M /Block 2BL,Cosmos 1261,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",09-04-81,12:00:00,Cosmos-3M (11K65M),Cosmos 1263,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",12-04-81,12:00:00,Space Shuttle Columbia,STS-1,Retired,450,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",24-04-81,21:32:00,Titan III(34)B Agena-D,Jumpseat 6,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",07-05-81,13:21:00,Cosmos-3M (11K65M),Cosmos 1269,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14-05-81,21:45:00,Vostok-2M,Meteor-2 n†­8,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",19-05-81,3:49:00,Vostok-2M,Cosmos 1271,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",23-05-81,22:42:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -501,Retired,,Success
ISRO,"SLV LP, Satish Dhawan Space Centre, India",31-05-81,5:00:00,SLV-3,Rohini RS-D1,Retired,,Partial Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",04-06-81,15:41:00,Cosmos-3M (11K65M),Cosmos 1275,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",09-06-81,3:33:00,Molniya-M /Block ML,Molniya-3 n†­91,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",19-06-81,12:33:00,Ariane 1,CAT-3 & Others,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",19-06-81,19:37:00,Molniya-M /Block 2BL,Cosmos 1278,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",23-06-81,10:52:00,Atlas-E/F Star-37S-ISS,NOAA-C,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",24-06-81,17:47:00,Molniya-M /Block ML,Molniya-1 n†­92,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10-07-81,5:14:00,Vostok-2M,Meteor-Priroda n†­5 & Iskra 1,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",04-08-81,0:12:00,Molniya-M /Block 2BL,Cosmos 1285,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",04-08-81,8:28:00,Tsyklon-2,Cosmos 1286,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",06-08-81,8:16:00,Atlas-SLV3D Centaur-D1AR,FLTSATCOM-5,Retired,,Partial Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-08-81,11:49:00,Cosmos-3M (11K65M),Cosmos 1287 to 1294,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",07-08-81,,Vostok-2M,Intercosmos 22,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",10-08-81,20:03:00,N-II Star-37E,Himawari 2,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",12-08-81,5:46:00,Cosmos-3M (11K65M),Cosmos 1295,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",24-08-81,16:37:00,Tsyklon-2,Cosmos 1299,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",24-08-81,21:40:00,Tsyklon-3,Cosmos 1300,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28-08-81,16:18:00,Cosmos-3M (11K65M),Cosmos 1302,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",03-09-81,18:29:00,Titan IIID,KH-11,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",11-09-81,8:43:00,Molniya-M /Block ML,Cosmos 1305,Retired,,Partial Failure
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",14-09-81,20:31:00,Tsyklon-2,Cosmos 1306,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",18-09-81,3:34:00,Cosmos-3M (11K65M),Cosmos 1308,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",19-09-81,21:28:00,Feng Bao 1,Shijian 2,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",21-09-81,,Tsyklon-3,Aureole 3,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",23-09-81,8:00:00,Cosmos-3M (11K65M),Cosmos 1310,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",28-09-81,21:00:00,Cosmos-3M (11K65M),Cosmos 1311,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",30-09-81,8:00:00,Tsyklon-3,Cosmos 1312,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",13-10-81,23:01:00,Vostok-2M,Cosmos 1315,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",17-10-81,5:59:00,Molniya-M /Block ML,Molniya-3 n†­94,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",31-10-81,9:22:00,Titan III(23)C,OPS-4029 (Vortex),Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",31-10-81,22:53:00,Molniya-M /Block 2BL,Cosmos 1317,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",12-11-81,15:09:00,Space Shuttle Columbia,STS-2,Retired,450,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",17-11-81,15:25:00,Molniya-M /Block ML,Molniya-1 n†­95,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",20-11-81,,Cosmos-3M (11K65M),Bhaskara-2,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",28-11-81,18:08:00,Cosmos-3M (11K65M),Cosmos 1320 to 1327,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",03-12-81,11:47:00,Tsyklon-3,Cosmos 1328,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",04-12-81,11:06:00,Cosmos-3M (11K65M),Cosmos 1304,Retired,,Partial Failure
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",15-12-81,23:35:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -503,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",17-12-81,,Cosmos-3M (11K65M),Radio-Sputnik 3 to 8,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",19-12-81,1:10:00,Atlas-E/F SGS-1,GPS-7,Retired,,Failure
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",20-12-81,1:29:00,Ariane 1,MARCES-1 & CAT-4,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",23-12-81,13:15:00,Molniya-M /Block ML,Molniya-1 n†­96,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",07-01-82,15:38:00,Cosmos-3M (11K65M),Cosmos 1331,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",14-01-82,7:51:00,Cosmos-3M (11K65M),Cosmos 1333,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",21-01-82,19:36:00,Titan III(24)B,OPS 2849,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",29-01-82,11:00:00,Cosmos-3M (11K65M),Cosmos 1335,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",11-02-82,1:11:00,Tsyklon-2,Cosmos 1337,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",17-02-82,21:56:00,Cosmos-3M (11K65M),Cosmos 1339,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",19-02-82,1:42:00,Vostok-2M,Cosmos 1340,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",26-02-82,20:10:00,Molniya-M /Block ML,Molniya-1 n†­97,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",03-03-82,5:44:00,Molniya-M /Block 2BL,Cosmos 1341,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",04-03-82,16:41:00,Cosmos-3M (11K65M),Ta??foun n†­27,Retired,,Failure
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",05-03-82,0:23:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -504,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",06-03-82,19:25:00,Titan III(23)C,DSP-10,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",22-03-82,16:00:00,Space Shuttle Columbia,STS-3,Retired,450,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",24-03-82,0:12:00,Molniya-M /Block ML,Molniya-3 n†­98,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",24-03-82,9:47:00,Cosmos-3M (11K65M),Cosmos 1344,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",25-03-82,9:50:00,Tsyklon-3,Meteor-2 n†­8,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",31-03-82,9:00:00,Cosmos-3M (11K65M),Cosmos 1345,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",31-03-82,16:27:00,Vostok-2M,Cosmos 1346,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",07-04-82,13:41:00,Molniya-M /Block 2BL,Cosmos 1348,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",08-04-82,0:15:00,Cosmos-3M (11K65M),Cosmos 1349,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",21-04-82,1:40:00,Cosmos-3M (11K65M),Cosmos 1351,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28-04-82,2:52:00,Cosmos-3M (11K65M),Cosmos 1354,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",29-04-82,9:55:00,Tsyklon-2,Cosmos 1355,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",05-05-82,8:01:00,Vostok-2M,Cosmos 1356,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-05-82,18:07:00,Cosmos-3M (11K65M),Cosmos 1357 to 1364,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",11-05-82,18:45:00,Titan IIID,KH-9 & SSF-D-4,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14-05-82,19:39:00,Tsyklon-2,Cosmos 1365,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",20-05-82,13:08:00,Molniya-M /Block 2BL,Cosmos 1367,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",28-05-82,22:02:00,Molniya-M /Block ML,Molniya-1 n†­99,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",01-06-82,4:37:00,Cosmos-3M (11K65M),Cosmos 1371,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",01-06-82,13:58:00,Tsyklon-2,Cosmos 1372,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",03-06-82,21:30:00,Cosmos-3MRB (65MRB),Cosmos 1374 (BOR-4 Space Shuttle),Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-06-82,17:10:00,Cosmos-3M (11K65M),Cosmos 1375,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",10-06-82,17:37:00,Tsyklon-3,Cosmos 1378,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",18-06-82,11:04:00,Tsyklon-2,Cosmos 1379,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",18-06-82,11:58:00,Cosmos-3M (11K65M),Cosmos 1380,Retired,,Partial Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",25-06-82,2:28:00,Molniya-M /Block 2BL,Cosmos 1382,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",27-06-82,16:09:00,Space Shuttle Columbia,STS-4,Retired,450,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",29-06-82,21:45:00,Cosmos-3M (11K65M),Cosmos 1383,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",07-07-82,9:47:00,Cosmos-3M (11K65M),Cosmos 1386,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",21-07-82,6:31:00,Cosmos-3M (11K65M),Cosmos 1388 to 1395,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",21-07-82,9:40:00,Molniya-M /Block ML,Molniya-1 n†­100,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",29-07-82,19:40:00,Cosmos-3M (11K65M),Cosmos 1397,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",02-08-82,0:01:00,Tsyklon-2,Cosmos 1412,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",05-08-82,6:56:00,Vostok-2M,Cosmos 1400,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",27-08-82,0:02:00,Molniya-M /Block ML,Molniya-3 n†­101,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",30-08-82,10:06:00,Tsyklon-2,Cosmos 1402,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",30-08-82,19:55:00,Cosmos-3M (11K65M),Strela-2M satellite,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",03-09-82,5:00:00,N-I,Kiku 4,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",04-09-82,17:50:00,Tsyklon-2,Cosmos 1405,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",09-09-82,2:12:00,Ariane 1,MARCES-B & Sirio-2,Retired,,Failure
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",09-09-82,7:19:00,Long March 2C,FSW-0 No.4,Active,30.8,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",16-09-82,4:55:00,Tsyklon-3,Cosmos 1408,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",22-09-82,6:23:00,Molniya-M /Block 2BL,Cosmos 1409,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",24-09-82,9:15:00,Tsyklon-3,Cosmos 1410,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",28-09-82,23:17:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -505,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",19-10-82,5:58:00,Cosmos-3M (11K65M),Cosmos 1417,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",21-10-82,14:00:00,Cosmos-3M (11K65M),Cosmos 1418,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",30-10-82,,Titan 34D,DSCS-II-15 + DSCS-III-A1,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",11-11-82,6:14:00,Cosmos-3M (11K65M),Cosmos 1420,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",11-11-82,12:19:00,Space Shuttle Columbia,STS-5,Retired,450,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",17-11-82,21:22:00,Titan IIID,KH-11,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",24-11-82,11:00:00,Cosmos-3M (11K65M),Strela-1M satellites,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",08-12-82,13:46:00,Molniya-M /Block ML,Cosmos 1423,Retired,,Partial Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14-12-82,22:30:00,Vostok-2M,Meteor-2 n†­10,Retired,,Success
